COLL_DATE,MODEL,YIL,KM,RENK,FIYAT,ILAN_TARIHI,IL_ILCE,ID,YAKIT,VITES,MARKA
7/17/2020,A3 Sedan 1.6 TDI,2015,107000,Beyaz,228000,"15 Temmuz

2020",Hakkari,841514904,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,116000,Beyaz,191000,"15 Temmuz

2020",Çanakkale,832248000,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2019,0,Beyaz,340000,"15 Temmuz

2020",Ýstanbul,810919874,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,105000,Beyaz,204900,"15 Temmuz

2020",Ýstanbul,841505593,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2013,155000,Beyaz,208000,"15 Temmuz

2020",Düzce,841498664,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,124720,Beyaz,209500,"16 Temmuz

2020",Ýstanbul,841798861,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,76000,Beyaz,252500,"15 Temmuz

2020",Isparta,841498780,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,117000,Siyah,192500,"15 Temmuz

2020",Balýkesir,800250398,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,182,Siyah,195000,"15 Temmuz

2020",Kocaeli,838734180,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,50000,Lacivert,248500,"15 Temmuz

2020",Ýstanbul,841492450,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2013,134000,Siyah,217000,"15 Temmuz

2020",Eskiþehir,841480698,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,75000,Beyaz,228500,"16 Temmuz

2020",Ýstanbul,841769328,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,14100,Siyah,261900,"15 Temmuz

2020",Ankara,841477623,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,37300,Siyah,249900,"15 Temmuz

2020",Ýstanbul,832121449,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,145000,Beyaz,175000,"15 Temmuz

2020",Sakarya,650759287,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,86000,Beyaz,205000,"15 Temmuz

2020",Gaziantep,808758783,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,139000,Siyah,189000,"15 Temmuz

2020",Mardin,841438654,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,158000,Beyaz,166500,"15 Temmuz

2020",Ýstanbul,832172868,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,49000,Beyaz,285000,"15 Temmuz

2020",Antalya,756606697,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,76000,Beyaz,235000,"15 Temmuz

2020",Ýzmir,832171007,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,105000,Beyaz,226000,"15 Temmuz

2020",Diyarbakýr,841451538,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,92500,Beyaz,225000,"15 Temmuz

2020",Ýstanbul,841450135,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,69000,Kahverengi,245000,"16 Temmuz

2020",Adana,841675840,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,135000,Beyaz,136000,"15 Temmuz

2020",Ýstanbul,840136184,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,72000,Kýrmýzý,239500,"15 Temmuz

2020",Ýstanbul,841439297,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,88000,Beyaz,215000,"15 Temmuz

2020",Bursa,841433833,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2015,85000,Beyaz,209750,"15 Temmuz

2020",Ýstanbul,841419786,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,93000,Beyaz,198000,"15 Temmuz

2020",Ýstanbul,841423798,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,25000,Siyah,302000,"15 Temmuz

2020",Aydýn,841425447,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,104500,Beyaz,192000,"15 Temmuz

2020",Düzce,841416764,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,160000,Gümüþ Gri,230000,"15 Temmuz

2020",Ýstanbul,841418820,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,75300,Beyaz,246900,"15 Temmuz

2020",Bursa,841415577,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2019,22000,Beyaz,327500,"15 Temmuz

2020",Manisa,841415536,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,143000,Beyaz,187000,"15 Temmuz

2020",Balýkesir,800272724,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,94222,Siyah,242750,"15 Temmuz

2020",Antalya,841414189,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,133000,Siyah,237000,"15 Temmuz

2020",Ýstanbul,841413536,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,73000,Mavi,245000,"15 Temmuz

2020",Çorum,795289359,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2018,66700,Mavi,249500,"16 Temmuz

2020",Ýstanbul,841673392,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,70100,Beyaz,199500,"15 Temmuz

2020",Zonguldak,783748303,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2013,126000,Siyah,199000,"15 Temmuz

2020",Çorum,840775150,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2014,144000,Beyaz,192750,"15 Temmuz

2020",Adana,841295879,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2017,39500,Mavi,237000,"15 Temmuz

2020",Gaziantep,836977184,dizel,otomatik,audi-a3-a3-sedan
7/17/2020,A3 Sedan 1.6 TDI,2016,124000,Siyah,216500,"14 Temmuz

2020",Gaziantep,841111755,dizel,otomatik,audi-a3-a3-sedan
